x,y
1,0.40384615384615384615
2,0.37500000000000000000
3,0.38333333333333333333
4,0.32692307692307692308
5,0.40157480314960629921
6,0.37254901960784313725
7,0.35000000000000000000
8,0.51063829787234042553
9,0.41584158415841584158
10,0.34090909090909090909
11,0.40350877192982456140
12,0.51515151515151515152
13,0.38888888888888888889
14,0.42857142857142857143
15,0.48672566371681415929
16,0.36885245901639344262
17,0.47169811320754716981
18,0.38383838383838383838
19,0.34693877551020408163
20,0.38000000000000000000
21,0.38235294117647058824
22,0.48837209302325581395
23,0.34328358208955223881
24,0.39449541284403669725
25,0.44444444444444444444
26,0.47107438016528925620
27,0.43137254901960784314
